plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
POL.PoznanCity_6284.58073,16.88756984,52.40104054,15.35,19.2,15.05,56.23,24.43,25.886,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6285.58073,16.88821432,52.40047376,16.35,19.38,12.88,56.43,24.2,22.1536,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6285.58074,16.88828599,52.40176579,17.45,17.68,12.48,57.98,24.13,21.4656,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6286.58067,16.89042706,52.39563032,16.95,18.73,12.75,56.6,24.78,21.93,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6286.58068,16.89065471,52.39589137,16.05,18.6,12.48,56.5,25.13,21.4656,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6287.58065,16.89215046,52.39355881,17.35,17.23,12.73,56.3,26.48,21.8956,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6287.58067,16.89104497,52.39549843,16.05,18.6,12.48,56.5,25.13,21.4656,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6287.58069,16.89144865,52.39687717,16.98,20.35,12,53.6,26.03,20.64,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6288.58065,16.89222758,52.39372339,17.35,17.23,12.73,56.3,26.48,21.8956,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6288.58066,16.89227896,52.39416365,17.35,17.23,12.73,56.3,26.48,21.8956,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6293.58071,16.90100888,52.39870652,20.05,24.95,17.33,47.25,28.15,29.8076,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6293.58072,16.90108096,52.3994357,20.05,24.95,17.33,47.25,28.15,29.8076,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6294.58071,16.90250807,52.39855841,20.13,24.75,16.4,45.83,29.35,28.208,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6294.58072,16.90182603,52.4001327,20.18,25.93,18.28,45.65,28.7,31.4416,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6294.58073,16.90209593,52.40040243,20.18,25.93,18.28,45.65,28.7,31.4416,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6294.58074,16.90200037,52.40165988,18.53,27.2,15.93,44.83,28.48,27.3996,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6294.58081,16.90292163,52.40805242,19.73,25.83,14.38,47.28,27.03,24.7336,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6295.58071,16.90291677,52.39871196,20.18,25.93,18.28,45.65,28.7,31.4416,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6295.58081,16.90312531,52.40778781,19.73,25.83,14.38,47.28,27.03,24.7336,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
